group,count,tobj_mean,tobj_std,tobj_min,tobj_p25,tobj_p50,tobj_p75,tobj_p90,tobj_max,tunk_mean,tunk_std,tunk_min,tunk_p25,tunk_p50,tunk_p75,tunk_p90,tunk_max,max_known_iou_mean,max_known_iou_std,max_known_iou_min,max_known_iou_p25,max_known_iou_p50,max_known_iou_p75,max_known_iou_p90,max_known_iou_max,best_full_iou_mean,best_full_iou_std,best_full_iou_min,best_full_iou_p25,best_full_iou_p50,best_full_iou_p75,best_full_iou_p90,best_full_iou_max,best_target_iou_mean,best_target_iou_std,best_target_iou_min,best_target_iou_p25,best_target_iou_p50,best_target_iou_p75,best_target_iou_p90,best_target_iou_max,max_known_score_mean,max_known_score_std,max_known_score_min,max_known_score_p25,max_known_score_p50,max_known_score_p75,max_known_score_p90,max_known_score_max,tunk_minus_tobj_mean,tunk_minus_tobj_std,tunk_minus_tobj_min,tunk_minus_tobj_p25,tunk_minus_tobj_p50,tunk_minus_tobj_p75,tunk_minus_tobj_p90,tunk_minus_tobj_max,tunk_over_tobj_mean,tunk_over_tobj_std,tunk_over_tobj_min,tunk_over_tobj_p25,tunk_over_tobj_p50,tunk_over_tobj_p75,tunk_over_tobj_p90,tunk_over_tobj_max
background,1755475,0.04098902376455409,0.05303532775922793,0.010000009089708328,0.014044255018234253,0.022339195013046265,0.04428298585116863,0.08662047386169436,0.8979074358940125,0.03461753075175911,0.059636513909598454,3.9199672755785286e-05,0.006331804441288114,0.013377346098423004,0.035606272518634796,0.08444285690784457,0.9889623522758484,0.040205936316987524,0.0901307511890205,0.0,0.0,0.0,0.030737112276256084,0.13137931525707244,0.4999948740005493,0.050925299609021465,0.10034905187799534,0.0,0.0,0.0018827170133590698,0.049271391704678535,0.1731531858444214,0.5062525272369385,0.013961619483940693,0.055203994734795085,0.0,0.0,0.0,0.0,0.023139918968081506,0.4999830424785614,0.0035774998993708352,0.03189014370968638,7.976476146254186e-10,4.150268296143622e-06,2.166373815271072e-05,0.0001240805722773075,0.0009653780260123322,0.9865098595619202,-0.006371493012629615,0.020542449491922587,-0.6682791709899902,-0.011394021566957235,-0.007381695322692394,-0.0035540557000786066,0.005450313538312929,0.49144309759140015,0.6606909217882241,0.33772941764570696,0.003551278728991747,0.41751888394355774,0.6268017888069153,0.8720745742321014,1.1078777074813844,8.557069778442383
novel,39138,0.054922723519885246,0.05999721464457281,0.010000867769122124,0.01719682849943638,0.032335709780454636,0.06841660477221012,0.12678730636835112,0.8316439390182495,0.05270276042523613,0.06525094353109584,0.00023176727700047195,0.01109372079372406,0.027788356877863407,0.06854064017534256,0.13363797515630724,0.740208089351654,0.03875912814922691,0.08494386600419075,0.0,0.0,0.0,0.015601840801537037,0.1740971609950066,0.49611425399780273,0.7653912237528258,0.1212823159746812,0.5000038146972656,0.6763767600059509,0.7862362563610077,0.8634069561958313,0.9116972744464874,0.9934790730476379,0.7653912237528258,0.1212823159746812,0.5000038146972656,0.6763767600059509,0.7862362563610077,0.8634069561958313,0.9116972744464874,0.9934790730476379,0.00969371558926584,0.033233482164154074,4.353152576186403e-07,0.0007789085211697966,0.0022262679412961006,0.00674317788798362,0.01908453777432445,0.880640983581543,-0.0022199630925982105,0.030320667818852547,-0.5058306455612183,-0.010933635756373405,-0.004917028360068798,0.004418407566845417,0.024571007862687115,0.3356996178627014,0.8628637645451387,0.42317688941665194,0.021883675828576088,0.5604352355003357,0.8170453608036041,1.1114822924137115,1.4073866963386537,4.498743534088135
unknown,36852,0.04099406704006776,0.04455903216985027,0.010000523179769516,0.01565825380384922,0.026241151615977287,0.04844778124243021,0.08461296334862711,0.7276068329811096,0.036703414393748704,0.04636906799075226,0.00015629948757123202,0.008262983290478587,0.018883630633354187,0.046723438426852226,0.09165160953998566,0.5308056473731995,0.023171366392404386,0.05886599021867885,0.0,0.0,0.0,0.006967825349420309,0.08228405714035035,0.49837255477905273,0.7671976705757736,0.12921251903291478,0.5000582337379456,0.6675428152084351,0.7889102399349213,0.8754098862409592,0.9248072564601898,0.9929437041282654,0.7671976705757736,0.12921251903291478,0.5000582337379456,0.6675428152084351,0.7889102399349213,0.8754098862409592,0.9248072564601898,0.9929437041282654,0.006231598198995847,0.04345423253078526,7.711761895734526e-09,9.370247198603465e-06,4.941873521602247e-05,0.0005180501029826701,0.0034076127456501132,0.8941754102706909,-0.004290652643838847,0.02520181113540322,-0.42369207739830017,-0.010240336181595922,-0.00597748626023531,0.0009154519066214561,0.016158434376120582,0.22388076782226562,0.7748540354468093,0.3882500104969346,0.012011644430458546,0.48075810074806213,0.7234228253364563,1.0273640751838684,1.3057266712188722,3.0198395252227783
