tobj_threshold,total,background,novel,unknown,useful,useful_pct,background_pct,background_rejection_pct,novel_retention_pct,unknown_retention_pct,useful_retention_pct
0.01,1831465,1755475,39138,36852,75990,4.149137439153901,95.8508625608461,0.0,100.0,100.0,100.0
0.02,1019546,969481,26901,23164,50065,4.910518995709856,95.08948100429015,44.77386462353494,68.73371148244672,62.85683273635081,65.88366890380313
0.03,701804,664981,20629,16194,36823,5.24690654370736,94.75309345629263,62.119597260000845,52.70836527160304,43.94334093129274,48.45769180155284
0.05,401396,378914,13664,8818,22482,5.600952675163678,94.39904732483632,78.41530070208917,34.91236138790945,23.928145012482364,29.585471772601657
0.075,230623,217305,8753,4565,13318,5.77479262692793,94.22520737307207,87.62129907859696,22.364453983340997,12.387387387387387,17.52599026187656
0.1,149800,141266,5856,2678,8534,5.696929238985314,94.30307076101468,91.95283327874222,14.962440594818336,7.266905459676544,11.23042505592841
0.15,77581,73675,2804,1102,3906,5.03473788685374,94.96526211314627,95.80313020692405,7.16439266186315,2.990339737327689,5.14015001973944
0.2,45244,43317,1411,516,1927,4.259128282203165,95.74087171779684,97.53246272376423,3.605191885124431,1.4001953760989905,2.535859981576523
0.3,16047,15533,357,157,514,3.2030909204212623,96.79690907957874,99.11516825930303,0.91215698298329,0.4260284380766309,0.676404790103961
