role,cls,n,tunk_mean,best_novel_mean,margin_mean,cache_cos_mean,tunk_wins,tunk_win_pct,cos_ge_0.55_pct,cos_ge_0.5_pct,cos_ge_0.65_pct,cos_ge_0.6_pct,reclaimable_tau0.55_m0.0005,reclaimable_tau0.55_m0.0005_pct,reclaimable_tau0.55_m0.001,reclaimable_tau0.55_m0.001_pct,reclaimable_tau0.55_m0.002,reclaimable_tau0.55_m0.002_pct,reclaimable_tau0.55_m0.003,reclaimable_tau0.55_m0.003_pct,reclaimable_tau0.55_m0.005,reclaimable_tau0.55_m0.005_pct,reclaimable_tau0.5_m0.0005,reclaimable_tau0.5_m0.0005_pct,reclaimable_tau0.5_m0.001,reclaimable_tau0.5_m0.001_pct,reclaimable_tau0.5_m0.002,reclaimable_tau0.5_m0.002_pct,reclaimable_tau0.5_m0.003,reclaimable_tau0.5_m0.003_pct,reclaimable_tau0.5_m0.005,reclaimable_tau0.5_m0.005_pct,reclaimable_tau0.65_m0.0005,reclaimable_tau0.65_m0.0005_pct,reclaimable_tau0.65_m0.001,reclaimable_tau0.65_m0.001_pct,reclaimable_tau0.65_m0.002,reclaimable_tau0.65_m0.002_pct,reclaimable_tau0.65_m0.003,reclaimable_tau0.65_m0.003_pct,reclaimable_tau0.65_m0.005,reclaimable_tau0.65_m0.005_pct,reclaimable_tau0.6_m0.0005,reclaimable_tau0.6_m0.0005_pct,reclaimable_tau0.6_m0.001,reclaimable_tau0.6_m0.001_pct,reclaimable_tau0.6_m0.002,reclaimable_tau0.6_m0.002_pct,reclaimable_tau0.6_m0.003,reclaimable_tau0.6_m0.003_pct,reclaimable_tau0.6_m0.005,reclaimable_tau0.6_m0.005_pct
base,autorickshaw,3758,0.0077416336624362625,0.02922308783956546,-0.02148145417863133,0.7504264485763069,14,0.37253858435337944,92.65566790846195,95.63597658328898,82.17136774880257,87.94571580627994,0,0.0,1,0.026609898882384245,4,0.10643959552953698,4,0.10643959552953698,5,0.13304949441192124,0,0.0,1,0.026609898882384245,4,0.10643959552953698,4,0.10643959552953698,5,0.13304949441192124,0,0.0,0,0.0,2,0.05321979776476849,2,0.05321979776476849,3,0.07982969664715274,0,0.0,0,0.0,3,0.07982969664715274,3,0.07982969664715274,4,0.10643959552953698
base,bicycle,293,0.0026924817007409987,0.0009598879656072805,0.0017325937372895447,0.6446110356484663,2,0.6825938566552902,70.98976109215018,84.30034129692832,45.051194539249146,59.72696245733788,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base,car,10887,0.0026487828202561006,0.00518980611857892,-0.0025410232972687126,0.6801907609738604,31,0.28474327179204556,86.59869569210986,93.50601634977495,61.55965830807385,76.31119684026821,10,0.0918526683200147,12,0.11022320198401765,13,0.11940846881601912,14,0.1285937356480206,14,0.1285937356480206,11,0.10103793515201616,13,0.11940846881601912,15,0.13777900248002206,16,0.14696426931202353,16,0.14696426931202353,5,0.04592633416000735,7,0.0642968678240103,8,0.07348213465601176,8,0.07348213465601176,8,0.07348213465601176,8,0.07348213465601176,10,0.0918526683200147,11,0.10103793515201616,12,0.11022320198401765,12,0.11022320198401765
base,motorcycle,14212,0.0008483862235713265,0.001094645743149981,-0.000246259519300918,0.6200023154145415,13,0.0914719954967633,71.2566844919786,84.59752321981424,36.71545173093161,54.05994933858711,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.007036307345904869,1,0.007036307345904869,1,0.007036307345904869,1,0.007036307345904869,1,0.007036307345904869,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base,person,8301,0.0032070873323865145,0.0002678852308894964,0.002939202102279341,0.5119889849690755,12,0.14456089627755692,35.007830381881696,55.234309119383205,11.311890133718828,19.81688953138176,1,0.012046741356463078,1,0.012046741356463078,1,0.012046741356463078,1,0.012046741356463078,1,0.012046741356463078,1,0.012046741356463078,1,0.012046741356463078,1,0.012046741356463078,1,0.012046741356463078,1,0.012046741356463078,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.012046741356463078,1,0.012046741356463078,1,0.012046741356463078,1,0.012046741356463078,1,0.012046741356463078
base,rider,13498,0.0011313896885787745,0.0007776602356986529,0.00035372945264767867,0.5549002117665719,21,0.15557860423766484,53.437546303156026,72.32182545562306,17.90635649725885,31.90843087864869,1,0.007408504963698325,3,0.022225514891094977,3,0.022225514891094977,3,0.022225514891094977,5,0.03704252481849163,1,0.007408504963698325,3,0.022225514891094977,3,0.022225514891094977,3,0.022225514891094977,5,0.03704252481849163,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base,traffic light,466,0.006418796092072199,6.680209967732916e-05,0.00635199401226754,0.4681504218491362,25,5.36480686695279,25.536480686695278,44.4206008583691,2.7896995708154506,11.587982832618025,1,0.2145922746781116,2,0.4291845493562232,2,0.4291845493562232,2,0.4291845493562232,2,0.4291845493562232,2,0.4291845493562232,3,0.6437768240343348,3,0.6437768240343348,3,0.6437768240343348,3,0.6437768240343348,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
base,traffic sign,3608,0.0180700448830598,0.0004067198923672742,0.017663325004460155,0.4883269282086792,160,4.434589800443459,29.07427937915743,43.431263858093125,10.670731707317072,18.264966740576497,16,0.4434589800443459,24,0.6651884700665188,26,0.720620842572062,27,0.7483370288248337,29,0.8037694013303769,24,0.6651884700665188,33,0.9146341463414633,37,1.02549889135255,38,1.0532150776053215,41,1.1363636363636365,4,0.11086474501108648,6,0.1662971175166297,6,0.1662971175166297,6,0.1662971175166297,7,0.19401330376940135,8,0.22172949002217296,14,0.3880266075388027,15,0.41574279379157425,15,0.41574279379157425,16,0.4434589800443459
novel,bus,1354,0.017659714990395016,0.05312306358244364,-0.03546334855121695,0.7918886128521389,39,2.880354505169867,96.38109305760709,98.07976366322009,90.98966026587888,94.31314623338257,8,0.5908419497784343,8,0.5908419497784343,10,0.7385524372230428,10,0.7385524372230428,10,0.7385524372230428,8,0.5908419497784343,8,0.5908419497784343,10,0.7385524372230428,10,0.7385524372230428,12,0.8862629246676514,8,0.5908419497784343,8,0.5908419497784343,10,0.7385524372230428,10,0.7385524372230428,10,0.7385524372230428,8,0.5908419497784343,8,0.5908419497784343,10,0.7385524372230428,10,0.7385524372230428,10,0.7385524372230428
novel,crane_truck,136,0.004301635318469999,0.017637218853286236,-0.013335583526082235,0.7905503209022915,4,2.941176470588235,93.38235294117648,94.11764705882352,80.14705882352942,85.29411764705883,1,0.7352941176470588,1,0.7352941176470588,2,1.4705882352941175,2,1.4705882352941175,2,1.4705882352941175,1,0.7352941176470588,1,0.7352941176470588,2,1.4705882352941175,2,1.4705882352941175,2,1.4705882352941175,0,0.0,0,0.0,1,0.7352941176470588,1,0.7352941176470588,1,0.7352941176470588,1,0.7352941176470588,1,0.7352941176470588,2,1.4705882352941175,2,1.4705882352941175,2,1.4705882352941175
