group,role,count,tobj_mean,tobj_std,tobj_min,tobj_p25,tobj_p50,tobj_p75,tobj_p90,tobj_max,tunk_mean,tunk_std,tunk_min,tunk_p25,tunk_p50,tunk_p75,tunk_p90,tunk_max,max_known_iou_mean,max_known_iou_std,max_known_iou_min,max_known_iou_p25,max_known_iou_p50,max_known_iou_p75,max_known_iou_p90,max_known_iou_max,best_full_iou_mean,best_full_iou_std,best_full_iou_min,best_full_iou_p25,best_full_iou_p50,best_full_iou_p75,best_full_iou_p90,best_full_iou_max,best_target_iou_mean,best_target_iou_std,best_target_iou_min,best_target_iou_p25,best_target_iou_p50,best_target_iou_p75,best_target_iou_p90,best_target_iou_max,max_known_score_mean,max_known_score_std,max_known_score_min,max_known_score_p25,max_known_score_p50,max_known_score_p75,max_known_score_p90,max_known_score_max,tunk_minus_tobj_mean,tunk_minus_tobj_std,tunk_minus_tobj_min,tunk_minus_tobj_p25,tunk_minus_tobj_p50,tunk_minus_tobj_p75,tunk_minus_tobj_p90,tunk_minus_tobj_max,tunk_over_tobj_mean,tunk_over_tobj_std,tunk_over_tobj_min,tunk_over_tobj_p25,tunk_over_tobj_p50,tunk_over_tobj_p75,tunk_over_tobj_p90,tunk_over_tobj_max
__BACKGROUND__|stride16,background,676477,0.04805152228502046,0.08303134756615567,0.010000023059546947,0.013676800765097141,0.02101380191743374,0.04206151142716408,0.09862098842859268,0.9436383247375488,0.0331425727738032,0.06580498710862104,3.7667723518097773e-06,0.005058704409748316,0.010676220990717411,0.028165854513645172,0.08020223230123523,0.9281983375549316,0.04917345814464605,0.10560797877343273,0.0,0.0,0.0,0.03597768396139145,0.18556392192840576,0.4999903440475464,0.06195683181194943,0.1151020573769932,0.0,0.0,0.0,0.06516347080469131,0.237297970056534,0.5019594430923462,0.016167401007786852,0.06123836533622739,0.0,0.0,0.0,0.0,0.02813548520207409,0.49993810057640076,0.013066716211356431,0.062239032604582356,2.1002364292144193e-08,1.8349192032474093e-05,0.0001399390457663685,0.0015291636809706688,0.022659372910857213,0.9884606599807739,-0.014908949513940076,0.04409969256062242,-0.8636444807052612,-0.014808619394898415,-0.008924184367060661,-0.0050110770389437675,0.0012391045689582828,0.521228015422821,0.5781231952833372,0.36745841331500645,0.0002041089319391176,0.31458780169487,0.5414546132087708,0.7786057591438293,1.0358214616775512,5.297857284545898
__BACKGROUND__|stride32,background,253837,0.03505874917536187,0.0496095620710637,0.010000131092965603,0.014114800840616226,0.021365566179156303,0.036853086203336716,0.06456615775823592,0.940394937992096,0.023570206306659288,0.041067709578885135,1.0650815966073424e-05,0.005657877307385206,0.01094893366098404,0.024308601394295692,0.05222523063421248,0.894560694694519,0.04329458340048331,0.09255478016115169,0.0,0.0,0.001590802799910307,0.03491726890206337,0.14556091427803033,0.4999713897705078,0.057231546088565795,0.10576512759957159,0.0,0.0,0.005311895627528429,0.0588439479470253,0.20206249356269834,0.5006664395332336,0.01894041870883551,0.06557628335784779,0.0,0.0,0.0,0.0004425531078595668,0.039418235421180725,0.4999965727329254,0.004034370057936819,0.028962148044286116,6.464878765655158e-08,5.595074071607087e-06,2.1469628336490132e-05,0.00013985061377752572,0.004077402129769319,0.991319477558136,-0.01148854286720534,0.026792021401900575,-0.8146927356719971,-0.013158069923520088,-0.008676066994667053,-0.005608817562460899,-0.001231675595045092,0.30448266863822937,0.5695699387532035,0.30580866332520784,0.0008623993489891291,0.36839643120765686,0.5384109616279602,0.7392878532409668,0.9626541376113892,3.3161582946777344
__BACKGROUND__|stride8,background,1490254,0.03288236798755561,0.0450780285851047,0.01000000350177288,0.012810584157705307,0.018097187392413616,0.03224503993988037,0.06574917808175086,0.9295939803123474,0.019261891481557856,0.04253790146462926,2.622280408104416e-05,0.0029860963113605976,0.006446594139561057,0.016082503832876682,0.043914906308054905,0.9368292689323425,0.05057928370075751,0.10696669380730399,0.0,0.0,0.0,0.03974101319909096,0.19426569491624823,0.4999864995479584,0.05882724466543115,0.11329567252862338,0.0,0.0,0.0,0.052666302770376205,0.2311078250408172,0.5128951072692871,0.010982542087235283,0.050677427981757124,0.0,0.0,0.0,0.0,0.012062779255211344,0.4999981224536896,0.02488591996990592,0.07683644798561023,1.3654148034447644e-08,0.00013968461280455813,0.0008692520787008107,0.009330743690952659,0.062806786596775,0.9752349257469177,-0.013620476506318821,0.02156806442769945,-0.615601658821106,-0.016040791291743517,-0.010574075859040022,-0.0075682662427425385,-0.0037047623656690136,0.5038400292396545,0.4322631294986812,0.3246847026270254,0.0024767538998275995,0.1939152516424656,0.36480385065078735,0.5863327383995056,0.8549199104309082,4.9953813552856445
animal|stride16,unknown,391,0.2831235769445367,0.299026912186543,0.01000200118869543,0.030889329500496387,0.1254313886165619,0.5280572772026062,0.7926749587059021,0.9661933779716492,0.08605856710726031,0.12301422129341386,0.0003204555541742593,0.006719463272020221,0.027850929647684097,0.1278569996356964,0.22243496775627136,0.774904727935791,0.0332518814109585,0.09511728070230449,0.0,0.0,0.0,0.0,0.1025579571723938,0.4774107038974762,0.7586867103491293,0.15739537172597703,0.5001879334449768,0.6042356193065643,0.7652745246887207,0.9151837825775146,0.9527654647827148,0.9938110709190369,0.7586867103491293,0.15739537172597703,0.5001879334449768,0.6042356193065643,0.7652745246887207,0.9151837825775146,0.9527654647827148,0.9938110709190369,0.022913569237545717,0.07848008341901996,1.3390686035563704e-05,0.0007260215061251074,0.003557350020855665,0.013463017530739307,0.048767052590847015,0.946074903011322,-0.19706500965930387,0.22336576932904761,-0.7631551027297974,-0.33898302912712097,-0.07904398441314697,-0.020347938872873783,-0.010530888102948666,0.06785941123962402,0.27603960213491985,0.19207989545167248,0.027861658483743668,0.15226971358060837,0.22218075394630432,0.34904123842716217,0.5147120356559753,1.2511632442474365
animal|stride32,unknown,28,0.1335739399239953,0.26783831794993157,0.010602759197354317,0.017140784300863743,0.027997354976832867,0.06028447486460209,0.4003815397620205,0.940394937992096,0.08045302408780637,0.19518094385604184,0.0008153186645358801,0.002522915252484381,0.007021553115919232,0.018112733494490385,0.21454439461231248,0.7409201264381409,0.004952032451650926,0.020943282109253347,0.0,0.0,0.0,0.0,0.0,0.11028669029474258,0.6817025010074887,0.14171333386778298,0.5100443363189697,0.5741496235132217,0.6332385838031769,0.765257403254509,0.9592007219791412,0.9793071746826172,0.6817025010074887,0.14171333386778298,0.5100443363189697,0.5741496235132217,0.6332385838031769,0.765257403254509,0.9592007219791412,0.9793071746826172,0.007201771669315349,0.013553152557041684,9.633007721276954e-06,0.00044247895857552066,0.002536863903515041,0.00549466535449028,0.017749445047229535,0.05825980752706528,-0.053120916044073443,0.0868634215476691,-0.42222240567207336,-0.041315993294119835,-0.019824443385004997,-0.013656755210831761,-0.011192732863128186,-0.008290145546197891,0.3057014151875462,0.20093245244131455,0.07008915394544601,0.15388553217053413,0.22081279754638672,0.40942569822072983,0.6043222784996033,0.7912893295288086
animal|stride8,unknown,1871,0.17100427583365724,0.21328486738926333,0.010008948855102062,0.020589512772858143,0.058438491076231,0.25886373221874237,0.5286498665809631,0.9295939803123474,0.10355776100870283,0.17071717192428487,0.000242620226345025,0.0037178376223891973,0.015598277561366558,0.12732546776533127,0.34598520398139954,0.9340736269950867,0.011269252622793246,0.0468133493663295,0.0,0.0,0.0,0.0,0.005229537840932608,0.4532867670059204,0.730552768051019,0.12260913794727157,0.5000384449958801,0.627658873796463,0.7368571758270264,0.8346148431301117,0.8899954557418823,0.9763662815093994,0.730552768051019,0.12260913794727157,0.5000384449958801,0.627658873796463,0.7368571758270264,0.8346148431301117,0.8899954557418823,0.9763662815093994,0.02969116038482649,0.07781548727011138,3.5658838442031993e-06,0.000704378675436601,0.00271757785230875,0.015441535506397486,0.08149726688861847,0.8403356671333313,-0.06744651495564165,0.07877668118945388,-0.4454408884048462,-0.09839671477675438,-0.031759653240442276,-0.014049600809812546,-0.009750353172421455,0.17711389064788818,0.37760900718596513,0.26310630724132655,0.020762436091899872,0.16333846002817154,0.30841511487960815,0.534439355134964,0.7731077075004578,1.4447628259658813
bus|stride16,novel,10696,0.42599972952796367,0.3056932180062496,0.01003297045826912,0.07944670133292675,0.4746420979499817,0.7073919773101807,0.812330424785614,0.9463853240013123,0.4063098022264356,0.3032665000408192,0.00016671873163431883,0.06865465641021729,0.4250153750181198,0.6802375912666321,0.8167807757854462,0.9575217962265015,0.0917630138256549,0.09849604034358697,0.0,0.001974211656488478,0.0638231448829174,0.1520461067557335,0.2316131591796875,0.4981192648410797,0.8459580571752211,0.1337662996249174,0.5002840161323547,0.7779949754476547,0.9003383815288544,0.9466645568609238,0.9681137204170227,0.9971820712089539,0.8459580571752211,0.1337662996249174,0.5002840161323547,0.7779949754476547,0.9003383815288544,0.9466645568609238,0.9681137204170227,0.9971820712089539,0.02962713369839076,0.08085693884739649,2.7426546012065955e-07,0.0006487844657385722,0.002924452070146799,0.019819701090455055,0.07575698569417,0.9755204916000366,-0.01968992726212798,0.11990371294595745,-0.7609188556671143,-0.0442626029253006,-0.004707718500867486,0.045560985803604126,0.10401686653494835,0.2456340789794922,0.9172076670089514,0.3572290137644107,0.010555610060691833,0.6936167180538177,0.9690268933773041,1.1175923645496368,1.313759207725525,2.782313823699951
bus|stride32,novel,8514,0.445198287847628,0.2398916765022756,0.01000069361180067,0.30471349507570267,0.5081265270709991,0.6160160452127457,0.718325138092041,0.9303914904594421,0.40298550238899067,0.23861848623269982,6.501495954580605e-05,0.22492358833551407,0.45212477445602417,0.5782509595155716,0.6829883396625517,0.9346731901168823,0.05323475446176768,0.09274187951099215,0.0,0.0,0.004618271254003048,0.0639041680842638,0.19819320738315582,0.4969724416732788,0.8961837070422859,0.13780632362109588,0.5002851486206055,0.888495922088623,0.9608581364154816,0.9827451705932617,0.9916934669017792,0.9994605183601379,0.8961837070422859,0.13780632362109588,0.5002851486206055,0.888495922088623,0.9608581364154816,0.9827451705932617,0.9916934669017792,0.9994605183601379,0.023801517974321736,0.06765060604227349,1.0060240356324357e-06,0.0004677014658227563,0.0018150395480915904,0.01262692827731371,0.0639664091169834,0.984284520149231,-0.042212785449544515,0.09998282106180431,-0.7810280919075012,-0.0903402641415596,-0.02341040875762701,0.011597171425819397,0.07163113355636597,0.3168855309486389,0.8324785733221167,0.29248584489632984,0.004162273835390806,0.6792724281549454,0.8860398828983307,1.0282747149467468,1.1472870588302613,2.3758959770202637
bus|stride8,novel,12154,0.10748311781382835,0.11637122350750914,0.010000277310609818,0.019992526154965162,0.05468218773603439,0.16118590533733368,0.2919666290283205,0.6492081880569458,0.07087777024557543,0.09900234205145438,0.00025596347404643893,0.005474052741192281,0.02321578562259674,0.10089692287147045,0.2115983694791794,0.6491160988807678,0.0928064073900342,0.10164145912156095,0.0,0.004043513326905668,0.058318961411714554,0.14900100231170654,0.24030551016330723,0.49912533164024353,0.7797746232304503,0.13074861798046822,0.5000395178794861,0.6797422766685486,0.8099169731140137,0.889671802520752,0.9313802123069763,0.9927657842636108,0.7797746232304503,0.13074861798046822,0.5000395178794861,0.6797422766685486,0.8099169731140137,0.889671802520752,0.9313802123069763,0.9927657842636108,0.04658145882916079,0.09297780229833816,1.5707399825259927e-06,0.0020977130043320358,0.010150485672056675,0.04522685054689646,0.13143147677183187,0.9127069115638733,-0.03660534755352861,0.052934508929352954,-0.493727445602417,-0.04910196177661419,-0.019183246418833733,-0.010057869600132108,-0.004369099345058193,0.23145896196365356,0.49638640435719955,0.31994369491304603,0.015502115711569786,0.23678044602274895,0.4377848505973816,0.6923522502183914,0.9473694741725924,2.0665817260742188
concrete_mixer|stride16,unknown,85,0.1895277231493417,0.2098756514795344,0.010112925432622433,0.023284442722797394,0.10258303582668304,0.2907373309135437,0.5593532919883732,0.819818377494812,0.14400824529721457,0.18335059916518068,0.001590328523889184,0.009422117844223976,0.04481523483991623,0.2766519784927368,0.4021029889583588,0.7137894630432129,0.06599147222004831,0.08048124435319069,0.0,0.0,0.02010483294725418,0.11472924053668976,0.1755291521549226,0.3968653976917267,0.7500145421308629,0.14709387304323449,0.5032913088798523,0.6190253496170044,0.7350038886070251,0.8828675746917725,0.9433557868003846,0.9816299080848694,0.7500145421308629,0.14709387304323449,0.5032913088798523,0.6190253496170044,0.7350038886070251,0.8828675746917725,0.9433557868003846,0.9816299080848694,0.010147979325291304,0.02492780067950281,3.2965221180347726e-05,0.0005807060515508056,0.002765810349956155,0.0071304296143352985,0.021549395471811325,0.17602235078811646,-0.045519477994564704,0.07894414681601891,-0.32608863711357117,-0.07241649180650711,-0.01995972916483879,-0.00621403381228447,0.03471153974533082,0.0791797935962677,0.608212748958784,0.3368615449790931,0.08449221402406693,0.31556397676467896,0.6091770529747009,0.8213593363761902,1.1193915367126468,1.3126469850540161
