tobj_threshold,total,background,novel,unknown,useful,useful_pct,background_pct,background_rejection_pct,novel_retention_pct,unknown_retention_pct,useful_retention_pct
0.01,2521778,2420568,95229,5981,101210,4.013438137694912,95.98656186230508,0.0,100.0,100.0,100.0
0.02,1235094,1152677,77675,4742,82417,6.672933396162558,93.32706660383744,52.379895958304004,81.56653960453222,79.28440060190603,81.43167671178738
0.03,803673,729939,69525,4209,73734,9.174626993814648,90.82537300618534,69.84430926955987,73.00822228522824,70.37284734994148,72.85248493231894
0.05,460582,396007,60950,3625,64575,14.020304744866277,85.97969525513372,83.63991426805609,64.00361234497895,60.608593880621974,63.80298389487204
0.075,292886,234973,54702,3211,57913,19.77322234589567,80.22677765410432,90.29265032009016,57.442585766940745,53.686674469152315,57.220630372492835
0.1,212765,159134,50711,2920,53631,25.206683430075433,74.79331656992456,93.42575792128129,53.25163553119323,48.82126734659756,52.98982314000593
0.15,136728,89483,44783,2462,47245,34.55400503188813,65.44599496811188,96.30322304516956,47.02664104421972,41.16368500250795,46.680169943681456
0.2,100084,57592,40335,2157,42492,42.45633667719116,57.54366332280883,97.62072373095901,42.35579497842044,36.064203310483194,41.98399367651418
0.3,63275,28380,33248,1647,34895,55.14816278150928,44.851837218490715,98.82754791437381,34.91373426162199,27.537201136933625,34.477818397391566
