prompt,parent_class,N_on,N_off,mean_on,mean_off,specificity,within_class_winner,global_wins_total,on_target_wins,off_target_wins,steal_rate,net_useful
car,car,275770,359241,0.0233,0.0008,29.162,0.5863,69502,64131,5371,0.0773,58760
passenger car,car,275770,359241,0.0064,0.0009,7.522,0.3639,28600,24724,3876,0.1355,20848
concrete barrier,barrier,73297,561714,0.0042,0.0001,55.093,0.2996,17350,16012,1338,0.0771,14674
traffic cone,traffic_cone,44944,590067,0.0256,0.0000,665.689,0.3426,13521,12724,797,0.0589,11927
road cone,traffic_cone,44944,590067,0.0157,0.0000,444.432,0.5758,25084,17857,7227,0.2881,10630
adult pedestrian,adult_pedestrian,70123,564888,0.0251,0.0004,65.113,0.3247,9424,8387,1037,0.1100,7350
walking person,adult_pedestrian,70123,564888,0.0288,0.0006,49.494,0.3768,9347,8315,1032,0.1104,7283
sedan,car,275770,359241,0.0170,0.0004,41.663,0.0498,5479,5281,198,0.0361,5083
orange cone,traffic_cone,44944,590067,0.0149,0.0000,521.119,0.0816,3173,2766,407,0.1283,2359
motorcycle,motorcycle,26271,608740,0.0310,0.0004,77.374,0.2158,2982,2269,713,0.2391,1556
truck,truck,64305,570706,0.0231,0.0025,9.344,0.1464,3078,2222,856,0.2781,1366
passenger bus,bus_rigid,17381,617630,0.0200,0.0008,24.914,0.7347,4524,2875,1649,0.3645,1226
bicycle,bicycle,21977,613034,0.0421,0.0004,97.415,0.3835,6708,3721,2987,0.4453,734
motorbike,motorcycle,26271,608740,0.0304,0.0005,65.904,0.1968,1215,932,283,0.2329,649
city bus,bus_rigid,17381,617630,0.0214,0.0008,27.380,0.1694,1125,867,258,0.2293,609
pedal bicycle,bicycle,21977,613034,0.0200,0.0002,93.143,0.4260,621,471,150,0.2415,321
bus,bus_rigid,17381,617630,0.0255,0.0011,24.026,0.0959,550,353,197,0.3582,156
bike,bicycle,21977,613034,0.0368,0.0010,38.697,0.1905,1707,921,786,0.4605,135
excavator,construction_vehicle,10708,624303,0.0101,0.0005,19.027,0.3041,1336,689,647,0.4843,42
lorry,truck,64305,570706,0.0157,0.0015,10.489,0.0139,190,106,84,0.4421,22
cat,animal,134,634877,0.0051,0.0000,758.314,0.0448,19,2,17,0.8947,-15
animal,animal,134,634877,0.0135,0.0000,431.928,0.1194,35,4,31,0.8857,-27
bulldozer,construction_vehicle,10708,624303,0.0058,0.0004,15.848,0.2013,115,22,93,0.8087,-71
road barrier,barrier,73297,561714,0.0027,0.0002,12.470,0.3105,18006,8967,9039,0.5020,-72
dog,animal,134,634877,0.0346,0.0000,986.601,0.8358,170,27,143,0.8412,-116
baby stroller,stroller,264,634747,0.0566,0.0005,111.825,0.2121,344,16,328,0.9535,-312
uniformed officer,police_officer,406,634605,0.0155,0.0007,22.671,0.2882,355,5,350,0.9859,-345
child,child_pedestrian,549,634462,0.0169,0.0003,48.544,0.2113,475,58,417,0.8779,-359
construction vehicle,construction_vehicle,10708,624303,0.0120,0.0012,9.723,0.4947,1056,328,728,0.6894,-400
articulated bus,bus_bendy,450,634561,0.0175,0.0011,15.303,0.3756,441,11,430,0.9751,-419
construction worker,construction_worker,8001,627010,0.0226,0.0010,23.299,0.1510,1690,553,1137,0.6728,-584
wheeled cart,pushable_object,3317,631694,0.0096,0.0007,12.974,0.2719,1071,190,881,0.8226,-691
adult,adult_pedestrian,70123,564888,0.0032,0.0001,29.590,0.2984,18770,8969,9801,0.5222,-832
bendy bus,bus_bendy,450,634561,0.0216,0.0017,12.979,0.4333,1347,22,1325,0.9837,-1303
law enforcement officer,police_officer,406,634605,0.0169,0.0008,20.980,0.2808,1367,11,1356,0.9920,-1345
cargo trailer,trailer,6390,628621,0.0088,0.0013,6.925,0.0876,1810,162,1648,0.9105,-1486
accordion bus,bus_bendy,450,634561,0.0083,0.0020,4.097,0.1911,1602,10,1592,0.9938,-1582
traffic barrier,barrier,73297,561714,0.0022,0.0003,6.494,0.3898,17825,8015,9810,0.5504,-1795
fallen object,debris,3075,631936,0.0009,0.0001,6.651,0.5034,1993,80,1913,0.9599,-1833
trolley,pushable_object,3317,631694,0.0083,0.0004,20.031,0.3579,2606,342,2264,0.8688,-1922
pram,stroller,264,634747,0.0439,0.0004,101.531,0.1439,1957,16,1941,0.9918,-1925
kid walking,child_pedestrian,549,634462,0.0165,0.0009,18.448,0.2441,2155,49,2106,0.9773,-2057
hoverboard,personal_mobility,931,634080,0.0007,0.0000,17.500,0.0816,2253,18,2235,0.9920,-2217
hard hat worker,construction_worker,8001,627010,0.0173,0.0007,25.834,0.4517,4112,759,3353,0.8154,-2594
personal mobility device,personal_mobility,931,634080,0.0059,0.0009,6.753,0.6455,2776,9,2767,0.9968,-2758
pushchair,stroller,264,634747,0.0725,0.0009,85.244,0.6439,3090,97,2993,0.9686,-2896
electric scooter,personal_mobility,931,634080,0.0057,0.0014,4.178,0.2728,2941,12,2929,0.9959,-2917
wheelchair user,wheelchair_user,15,634996,0.0206,0.0009,22.433,0.4000,3230,3,3227,0.9991,-3224
semi trailer,trailer,6390,628621,0.0113,0.0017,6.710,0.3942,4987,787,4200,0.8422,-3413
rubble on road,debris,3075,631936,0.0002,0.0000,4.275,0.0397,3964,16,3948,0.9960,-3932
cargo truck,truck,64305,570706,0.0144,0.0011,12.882,0.8397,43718,19655,24063,0.5504,-4408
