prompt,parent_class,N_on,N_off,mean_on,mean_off,specificity,within_class_winner,global_wins_total,on_target_wins,off_target_wins,steal_rate,net_useful
site worker,construction_worker,8001,627010,0.0229,0.0013,18.024,0.3973,6014,801,5213,0.8668,-4412
police officer,police_officer,406,634605,0.0164,0.0009,19.125,0.4310,4487,14,4473,0.9969,-4459
road debris,debris,3075,631936,0.0003,0.0001,4.350,0.4569,6141,84,6057,0.9863,-5973
pushable object,pushable_object,3317,631694,0.0042,0.0005,8.066,0.3702,6686,154,6532,0.9770,-6378
cycle parking rack,bicycle_rack,5932,629079,0.0077,0.0005,14.511,0.3341,8039,659,7380,0.9180,-6721
person in wheelchair,wheelchair_user,15,634996,0.0234,0.0011,20.976,0.4667,7581,3,7578,0.9996,-7575
two wheeler,motorcycle,26271,608740,0.0137,0.0006,22.056,0.5874,16846,3897,12949,0.7687,-9052
police vehicle,police_car,712,634299,0.0086,0.0047,1.855,0.1742,9662,13,9649,0.9987,-9636
wheelchair,wheelchair_user,15,634996,0.0020,0.0002,9.590,0.1333,12789,1,12788,0.9999,-12787
ambulance,ambulance,58,634953,0.0116,0.0015,7.918,0.0862,13175,5,13170,0.9996,-13165
young pedestrian,child_pedestrian,549,634462,0.0288,0.0029,9.936,0.5446,15790,113,15677,0.9928,-15564
bicycle rack,bicycle_rack,5932,629079,0.0063,0.0005,13.132,0.4462,17980,971,17009,0.9460,-16038
police car,police_car,712,634299,0.0136,0.0063,2.154,0.2430,20837,21,20816,0.9990,-20795
trailer,trailer,6390,628621,0.0099,0.0018,5.595,0.5182,26655,1469,25186,0.9449,-23717
bike stand,bicycle_rack,5932,629079,0.0013,0.0004,3.095,0.2197,26152,499,25653,0.9809,-25154
emergency ambulance,ambulance,58,634953,0.0192,0.0044,4.349,0.3103,25317,14,25303,0.9994,-25289
patrol car,police_car,712,634299,0.0115,0.0055,2.095,0.5829,29382,136,29246,0.9954,-29110
medical van,ambulance,58,634953,0.0260,0.0049,5.332,0.6034,29682,10,29672,0.9997,-29662
